id|id_parent|level|index|name|url
50411|50400|03|11|Modules linéaires|http://www.directindustry.fr/fabricant-industriel/module-lineaire-61306.html
50412|50400|03|12|Axes linéaires|http://www.directindustry.fr/fabricant-industriel/axe-lineaire-142196.html
50413|50400|03|13|Moteurs piézoélectriques|http://www.directindustry.fr/fabricant-industriel/moteur-piezoelectrique-73714.html
50414|50400|03|14|Électro-aimants|http://www.directindustry.fr/fabricant-industriel/electro-aimant-137671.html
50415|50400|03|15|Blocs transmission|http://www.directindustry.fr/fabricant-industriel/bloc-transmission-96106.html
50416|50400|03|16|Colonnes électriques|http://www.directindustry.fr/fabricant-industriel/colonne-electrique-74664.html
50417|50400|03|17|Glissières|http://www.directindustry.fr/fabricant-industriel/glissiere-74424.html
50418|50400|03|18|Autres actionneurs et accessoires de positionnement|http://www.directindustry.fr/cat/actionneurs-positionnement/autres-actionneurs-accessoires-positionnement-BU-3011.html
50419|50400|03|19|Platines de positionnement|http://www.directindustry.fr/fabricant-industriel/platine-positionnement-81530.html
50420|50400|03|20|Positionneurs|http://www.directindustry.fr/fabricant-industriel/positionneur-74347.html
50421|50400|03|21|Tables rotatives|http://www.directindustry.fr/fabricant-industriel/table-rotative-78971.html
50422|50400|03|22|Tables élévatrices|http://www.directindustry.fr/fabricant-industriel/table-elevatrice-61388.html
50423|50400|03|23|Systèmes de positionnement|http://www.directindustry.fr/fabricant-industriel/systeme-positionnement-76347.html
50424|50400|03|24|Autres platines de positionnement|http://www.directindustry.fr/cat/actionneurs-positionnement/autres-platines-positionnement-BU-1613.html
50425|50400|03|25|Indexeurs|http://www.directindustry.fr/fabricant-industriel/indexeur-65156.html
50426|50400|03|26|Alimentateurs|http://www.directindustry.fr/fabricant-industriel/alimentateur-74350.html
